,donor,acceptor,A_ch,D_ch,spot,total
0,601.1247272164302,29.673969367929864,0,84,0,630.7986965843601
1,46.57889442928356,310.22534761641754,1,85,1,356.8042420457011
2,47.911939061250756,218.70412027941694,2,86,2,266.6160593406677
3,390.60800326872834,36.6516490485392,3,87,3,427.2596523172675
4,46.36360221082895,308.033109490377,4,88,4,354.39671170120596
5,178.50164896507476,29.78291270911695,5,89,5,208.2845616741917
6,54.83620993177411,29.20634422747202,6,90,6,84.04255415924612
7,3477.754323039179,107.73042609978923,7,91,7,3585.4847491389683
8,420.43764506391227,1149.3492736188757,8,92,8,1569.786918682788
9,49.95882965189463,32.227426373542905,9,93,9,82.18625602543753
10,151.38292115219528,474.3841738663873,10,94,10,625.7670950185826
11,50.16246428959175,2039.9210416141007,11,95,11,2090.0835059036926
12,1631.5381822926274,29.138499012343587,12,72,12,1660.676681304971
13,1485.612701737029,30.49650264211176,13,73,13,1516.109204379141
14,270.9958536372337,30.030007382558416,14,74,14,301.02586101979216
15,2181.4473856451314,1124.100958056053,15,75,15,3305.5483437011844
16,76.68025648616228,30.082128936655675,16,76,16,106.76238542281796
17,114.81913077235284,93.62724939335394,17,77,17,208.44638016570678
18,54.64685472397534,45.43717220066531,18,78,18,100.08402692464065
19,2028.6559263568954,30.709578819139765,19,79,19,2059.365505176035
20,142.8930505125441,117.2789942515097,20,80,20,260.1720447640538
21,120.45184983502195,446.33999800809454,21,81,21,566.7918478431164
22,177.37517073165827,33.37701838818461,22,82,22,210.75218911984288
23,978.7048613859109,38.98501915812948,23,83,23,1017.6898805440404
24,327.3578203227106,1358.8255449891667,24,60,24,1686.1833653118774
25,50.33964381709459,32.93325278509351,25,61,25,83.2728966021881
26,200.7649657496935,33.01992254649031,26,62,26,233.7848882961838
27,95.09942308507578,89.81766114757215,27,63,27,184.91708423264794
28,901.3348558523476,31.566839579223263,28,64,28,932.9016954315708
29,4717.715440232221,82.69161177838255,29,65,29,4800.407052010603
30,232.13917724108467,27.744918999268588,30,66,30,259.88409624035324
31,342.34042701601436,47.03466914791712,31,67,31,389.37509616393146
32,50.33525650167391,4931.08106128338,32,68,32,4981.416317785054
33,46.02633457943702,41.245653864659076,33,69,33,87.2719884440961
34,1117.8150895098388,5820.34337421971,34,70,34,6938.158463729549
35,309.73291170765543,115.31041487061465,35,71,35,425.04332657827007
36,210.4767530045762,39.425479962690645,36,48,36,249.90223296726685
37,46.117248809292704,2609.5370738941087,37,49,37,2655.6543227034012
38,72.70287921069745,4168.825285849761,38,50,38,4241.528165060458
39,1185.0296310026993,34.06870484836502,39,51,39,1219.0983358510643
40,166.83735358112665,202.57194406016367,40,52,40,369.4092976412903
41,190.23638712777344,39.642821388622856,41,53,41,229.8792085163963
42,86.34019978230347,74.61030877297392,42,54,42,160.9505085552774
43,64.93301764680011,28.933639981037413,43,55,43,93.86665762783753
44,131.16547763285072,749.6181746849518,44,56,44,880.7836523178025
45,66.18999859283727,28.427795683976203,45,57,45,94.61779427681347
46,56.50509412056412,33.41463631859787,46,58,46,89.91973043916198
47,54.382588605840716,278.2805518260804,47,59,47,332.66314043192114
